id,type,name,subtitle,subtitle_en,city,lat,lng,desc,desc_en,link,linkLabel,linkLabel_en,verified
mediaccions,group,"Mediaccions, Estudios críticos en cultura, diseño y comunicación en red",Universitat Oberta de Catalunya,Universitat Oberta de Catalunya,Barcelona,41.3874,2.1686,"Grupo interdisciplinar de la UOC en cultura digital, diseño y comunicación en red; investiga con metodologías cualitativas, etnográficas, experimentales y participativas.","Interdisciplinary UOC research group on digital culture, design and networked communication; uses qualitative, ethnographic, experimental and participatory research methods.",https://www.mediaccions.net,página del grupo,group page,si
laav,group,LAAV — Laboratorio de Antropología Audiovisual Experimental,Departamento de Educación y Acción Cultural del Museo de Arte Contemporáneo de Castilla y León,Departamento de Educación y Acción Cultural del Museo de Arte Contemporáneo de Castilla y León,León,42.5987,-5.5671,Laboratorio del DEAC MUSAC que combina arte y antropología visual y cultural; practica etnografía experimental desde una perspectiva crítica y colaborativa.,"DEAC MUSAC lab combining art and visual/cultural anthropology; practices experimental ethnography from a critical, collaborative perspective, questioning realist aesthetic conventions.",https://laav.es/en/,página del grupo,group page,si
gredits,group,GREDITS,"BAU, Centre Universitari de Disseny, Barcelona","BAU, Centre Universitari de Disseny, Barcelona",Barcelona,41.385,2.1734,Plataforma transdisciplinar de investigación en arte y diseño en BAU (desde 2011); estudia su dimensión social y política con perspectiva interseccional.,Transdisciplinary arts and design research platform at BAU (since 2011); studies their social and political dimensions with an intersectional perspective.,https://research.baued.es/en/gredits-design-and-social-transformation-research-group/,página del grupo,group page,si
red-multimodal,group,Red de Antropología Multimodal (ASAEE),"red distribuida, sin sede única","distributed network, no fixed base",Spain,40.4637,-3.7492,"Red temática de la Asociación de Antropología del Estado Español (ASAEE). Propone abandonar la fijación mono-gráfica de la disciplina para explorar fotografía, imagen en movimiento, exposiciones, dibujo, co-diseño de infraestructura, etc.","Thematic network of the Spanish Anthropology Association (ASAEE). Proposes moving past the discipline's textual fixation to explore photography, moving image, exhibitions, drawing, infrastructure co-design, and more.",https://asaee-antropologia.org/redes/red-de-antropologia-multimodal/,página de la red,network page,si
xeito,group,"XEITO, Laboratorio de Creación Etnográfica",Instituto de Ciencias del Patrimonio,Instituto de Ciencias del Patrimonio,Santiago de Compostela ,42.879,-8.543,"Infraestructura científico-técnica del INCIPIT para experimentar con el trabajo de campo etnográfico mediante metodologías artísticas, experimentales y multimodales.","INCIPIT scientific-technical infrastructure for experimenting with ethnographic fieldwork through artistic, experimental and multimodal methodologies.",https://www.incipit.csic.es/es/proyecto/xeito,página del grupo,group page,si
etnolab,group,EtnoLAB,Universidad Autónoma de Madrid,Universidad Autónoma de Madrid,Madrid,40.5449,-3.6892,Laboratorio de técnicas etnográficas de la UAM; investiga formatos audiovisuales transmedia e interactivos mediante trabajo de campo participativo y comprometido.,"UAM's ethnographic techniques lab; researches interactive, transmedia audiovisual formats through participatory, socially-committed fieldwork methodologies.",https://www.etnolabuam.net,página del grupo,group page,si
carenet,group,CareNet,Universitat Oberta de Catalunya,Universitat Oberta de Catalunya,Barcelona,41.391,2.165,"Grupo de investigación en cuidado, crisis y tecnociencia (UOC/IN3); estudia resiliencia ante desastres y transformación del cuidado con metodologías participativas.","Research group on care, crisis and technoscience (UOC/IN3); studies disaster resilience and the transformation of care through participatory methodologies.",https://carenet.uoc.edu,página del grupo,group page,si
cinaf,group,Cinaf,Universitat de Barcelona,Universitat de Barcelona,Barcelona,41.3868,2.1637,"Grupo consolidado (AGAUR, desde 2005) de investigación con pueblos indígenas y afrodescendientes; estudia ciudadanía, territorio, migración y derechos no-humanos.","AGAUR-recognized research group (since 2005) working with indigenous and Afro-descendant peoples; studies citizenship, territory, migration and non-human rights.",https://www.ub.edu/cinaf/es/,página del grupo,group page,si
ardevol,individual,Elisenda Ardèvol,Universitat Oberta de Catalunya,Universitat Oberta de Catalunya,Barcelona,41.3895,2.172,"Catedrática de antropología social y cultural en la UOC; investiga etnografía digital, metodologías cualitativas, antropología del diseño y storytelling audiovisual.","Chair professor of social and cultural anthropology at UOC; researches digital ethnography, qualitative methods, design anthropology and audiovisual storytelling.",https://recerca.uoc.edu/investigadores/882665/detalle?lang=en,perfil en UOC,UOC profile,si
canals,individual,Roger Canals,Universitat de Barcelona,Universitat de Barcelona,Barcelona,41.392,2.1655,"Antropólogo y cineasta, profesor en la UB; especialista en antropología visual y cine etnográfico; dirige el proyecto europeo Visual Trust (2021-2026).","Anthropologist and filmmaker, professor at UB; specialist in visual anthropology and ethnographic film; directs the EU-funded Visual Trust project (2021-2026).",https://www.ub.edu/cinaf/es/dr-roger-canals-vilageliu/,perfil en UB,UB profile,si
gomez-soriano,individual,Ezequiel Gómez Soriano,Universitat Oberta de Catalunya,Universitat Oberta de Catalunya,Barcelona,41.383,2.16,"Antropólogo (Granada/UOC) y editor experimental en Artefactos Nativos; investiga Internet, distinción social, fronteras simbólicas, desigualdad y nuevas formas de cultura popular.","Anthropologist (Granada/UOC) and experimental editor at Artefactos Nativos; researches the internet, social distinction, symbolic boundaries, inequality and emerging popular culture forms.",https://laescocesa.org/es/view/ezequielsorianogomez/3168,perfil en La Escosesa,La Escosesa profile,si
gonzalez,individual,Olatz González,Euskal Herriko Unibertsitatea,Euskal Herriko Unibertsitatea,Bilbao,43.263,-2.935,"Subdirectora de formación y profesora de antropología social en la UPV/EHU; investiga deporte, feminismo, masculinidades y relaciones animales; también documentalista.","Training vice-director and social anthropology professor at UPV/EHU; researches sport, feminism, masculinities and human-animal relations; also a documentary filmmaker.",https://www.ehu.eus/es/web/doktoregoa/doctorado-sociedad-politica-cultura/profesorado?redirect=fichaPDI&idPdi=69951,perfil en EHU,EHU profile,si
